source_sheet,SCHOOL,POSITION,NAME,HEIGHT,WEIGHT,CLASS,BIRTHPLACE
Big 10,MICHIGAN STATE,RB2,Jaziun Patterson,"5' 10""",210 lbs,SR,"Pompano Beach, FL"
Big 10,MICHIGAN STATE,RB3,Brandon Tullis,"6' 1""",227 lbs,JR,"Dallas, TX"
Big 10,MICHIGAN STATE,WR1,Fredrick Moore,"6' 1""",191 lbs,SR,"St. Louis, MO"
Big 10,MICHIGAN STATE,WR2,KK Smith,"6' 0""",177 lbs,JR,"Frisco, TX"
Big 10,MICHIGAN STATE,WR3,Chrishon McCray,"5' 10""",171 lbs,SR,"Avon, IN"
Big 10,MICHIGAN STATE,WR4,Bryson Williams,"6' 1""",219 lbs,SO,"Canton, MI"
Big 10,MICHIGAN STATE,TE1,Brennan Parachek,"6' 5""",251 lbs,SR,"Dexter, MI"
Big 10,MICHIGAN STATE,TE2,Kai Rios,"6' 6""",263 lbs,SR,"Rock Island, IL"
Big 10,MICHIGAN STATE,K,Liam Boyd,"6' 1""",200 lbs,SR,"Asheville, NC"
Big 10,MINNESOTA,QB1,Drake Lindsey,"6' 5""",230 lbs,SO,"Fayetteville, AR"
Big 10,MINNESOTA,QB2,Max Shikenjanski,"6' 2""",185 lbs,JR,"Stillwater, MN"
Big 10,MINNESOTA,RB1,Darius Taylor,"6' 0""",215 lbs,SR,"Detroit, MI"
Big 10,MINNESOTA,RB2,A.J. Turner,"6' 0""",195 lbs,SR,"Hampton, VA"
Big 10,MINNESOTA,RB3,Grant Washington,"5' 10""",200 lbs,FR,"Avon, OH"
Big 10,MINNESOTA,WR1,Jalen Smith,"6' 1""",195 lbs,SO,"Mankato, MN"
Big 10,MINNESOTA,WR2,Perry Thompson,"6' 3""",220 lbs,JR,"Foley, AL"
Big 10,MINNESOTA,WR3,Javon Tracy,"6' 0""",205 lbs,SR,"Indianapolis, IN"
Big 10,MINNESOTA,WR4,Noah Jennings,"6' 0""",190 lbs,SR,"Columbia, SC"
Big 10,MINNESOTA,TE1,Kaden Helms,"6' 5""",238 lbs,SR,"Bellevue, NE"
Big 10,MINNESOTA,TE2,Pierce Walsh,"6' 4""",250 lbs,JR,"Downers Grove, IL"
Big 10,MINNESOTA,K,Beckham Sunderland,"6' 1""",216 lbs,SR,"Newport, KY"
Big 10,NEBRASKA,QB1,Anthony Colandrea,"6' 0""",205 lbs,SR,"St. Petersburg, FL"
Big 10,NEBRASKA,QB2,TJ Lateef,"6' 1""",200 lbs,SO,"Compton, CA"
Big 10,NEBRASKA,RB1,Isaiah Mozee,"6' 0""",210 lbs,SO,"Kansas City, MO"
Big 10,NEBRASKA,RB2,Mekhi Nelson,"6' 0""",195 lbs,SO,"Wilkes-Barre, PA"
Big 10,NEBRASKA,RB3,Kwinten Ives,"6' 3""",215 lbs,JR,"Beverly, NJ"
Big 10,NEBRASKA,WR1,Nyziah Hunter,"6' 1""",205 lbs,JR,"Salinas, CA"
